hierarchyId	pCFID	name	verb	object	filePath
3.0	10004	Market and Sell Products and Services	Market	And Sell Products And Services	03-MarketAndSellProductsAndServices/index.mdx
3.1	10101	Understand markets, customers, and capabilities	Understand	Markets, Customers, And Capabilities	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/index.mdx
3.1.1	10106	Perform customer and market intelligence analysis	Perform	Customer And Market Intelligence Analysis	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/index.mdx
3.1.1.1	19636	Conduct customer and market research	Conduct	Customer And Market Research	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/3.1.1.1-ConductCustomerAndMarketResearch/index.mdx
3.1.1.1.1	19637	Study competitor category and brand positioning (e.g. by benchmarking competitor products)	Study	Competitor Category And Brand Positioning (e.g. By Benchmarking Competitor Products)	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/3.1.1.1-ConductCustomerAndMarketResearch/19637-StudyCompetitorCategoryAndBrandPositioningEGByBenchmarkingCompetitorProducts.mdx
3.1.1.1.2	19638	Study customer segmentation patterns (e.g. by performing data driven segmentation analysis)	Study	Customer Segmentation Patterns (e.g. By Performing Data Driven Segmentation Analysis)	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/3.1.1.1-ConductCustomerAndMarketResearch/19638-StudyCustomerSegmentationPatternsEGByPerformingDataDrivenSegmentationAnalysis.mdx
3.1.1.1.3	10114	Understand consumer needs and predict customer purchasing behavior	Understand	Consumer Needs And Predict Customer Purchasing Behavior	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/3.1.1.1-ConductCustomerAndMarketResearch/10114-UnderstandConsumerNeedsAndPredictCustomerPurchasingBehavior.mdx
3.1.1.1.4	11327	Identify brand and portfolio gaps	Identify	Brand And Portfolio Gaps	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/3.1.1.1-ConductCustomerAndMarketResearch/11327-IdentifyBrandAndPortfolioGaps.mdx
3.1.1.2	11432	Develop consumer/shopper market insight and identify trends	Develop	Consumer/shopper Market Insight And Identify Trends	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/11432-DevelopConsumerShopperMarketInsightAndIdentifyTrends.mdx
3.1.1.3	19639	Study consumer insights and trends	Study	Consumer Insights And Trends	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/19639-StudyConsumerInsightsAndTrends.mdx
3.1.1.4	10109	Identify market segments	Identify	Market Segments	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/3.1.1.4-IdentifyMarketSegments/index.mdx
3.1.1.4.1	10115	Determine market share gain/loss	Determine	Market Share Gain/loss	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/3.1.1.4-IdentifyMarketSegments/10115-DetermineMarketShareGainLoss.mdx
3.1.1.5	10110	Analyze market and industry trends	Analyze	Market And Industry Trends	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/10110-AnalyzeMarketAndIndustryTrends.mdx
3.1.1.6	10111	Analyze competing organizations, competitive/substitute products/services	Analyze	Competing Organizations, Competitive/substitute Products/services	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/10111-AnalyzeCompetingOrganizationsCompetitiveSubstituteProductsServices.mdx
3.1.1.7	10112	Evaluate existing products/services	Evaluate	Existing Products/services	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/10112-EvaluateExistingProductsServices.mdx
3.1.1.8	10113	Assess internal and external business environment	Assess	Internal And External Business Environment	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.1-PerformCustomerAndMarketIntelligenceAnalysis/10113-AssessInternalAndExternalBusinessEnvironment.mdx
3.1.2	10107	Evaluate and prioritize market opportunities	Evaluate	And Prioritize Market Opportunities	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.2-EvaluateAndPrioritizeMarketOpportunities/index.mdx
3.1.2.1	10116	Quantify market opportunities	Quantify	Market Opportunities	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.2-EvaluateAndPrioritizeMarketOpportunities/10116-QuantifyMarketOpportunities.mdx
3.1.2.2	10117	Determine target segments	Determine	Target Segments	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.2-EvaluateAndPrioritizeMarketOpportunities/3.1.2.2-DetermineTargetSegments/index.mdx
3.1.2.2.1	18941	Identify under-served and saturated market segments	Identify	Under-served And Saturated Market Segments	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.2-EvaluateAndPrioritizeMarketOpportunities/3.1.2.2-DetermineTargetSegments/18941-IdentifyUnderServedAndSaturatedMarketSegments.mdx
3.1.2.3	10118	Prioritize opportunities consistent with capabilities and overall business strategy	Prioritize	Opportunities Consistent With Capabilities And Overall Business Strategy	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.2-EvaluateAndPrioritizeMarketOpportunities/10118-PrioritizeOpportunitiesConsistentWithCapabilitiesAndOverallBusinessStrategy.mdx
3.1.2.4	10119	Validate opportunities	Validate	Opportunities	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.2-EvaluateAndPrioritizeMarketOpportunities/3.1.2.4-ValidateOpportunities/index.mdx
3.1.2.4.1	10120	Test with customers/consumers	Test	With Customers/consumers	03-MarketAndSellProductsAndServices/3.1-UnderstandMarketsCustomersAndCapabilities/3.1.2-EvaluateAndPrioritizeMarketOpportunities/3.1.2.4-ValidateOpportunities/10120-TestWithCustomersConsumers.mdx
